CONTRIBUTION_ID,PERIOD_START,PERIOD_END,CONTRIBUTION_DATE,RECIPIENT,AMOUNT,LOBBYIST_ID,LOBBYIST_FIRST_NAME,LOBBYIST_LAST_NAME,CREATED_DATE
1419637683,10/01/2016,12/31/2016,10/25/2016,HOPKINS FOR CHICAGO,500.00,13881,CURT,BAILEY,01/17/2017
4198341220,07/01/2018,09/30/2018,09/15/2018,42ND WARD DEMOCRACTICE ORGNAIZATION,500.00,4180,ROBERT,GAMRATH,01/29/2020
3863941715,01/01/2017,03/31/2017,02/16/2017,FRIENDS OF SOPHIA KING,1000.00,3845,ROLANDO,ACOSTA,01/16/2018
1467595754,04/01/2018,06/30/2018,04/07/2018,FRIENDS OF CARRIE AUSTIN,1000.00,3836,JOHN,DOERRER,07/02/2018
4220824947,01/01/2016,03/31/2016,02/23/2016,12TH WARD DEMOCRATIC ORGANIZATION,500.00,3739,COURTNEY,NOTTAGE,11/02/2016
2688348599,07/01/2012,09/30/2012,08/14/2012,ALDERMAN CARRIE AUSTIN,250.00,5581,BRENDAN,SHILLER,11/06/2012
1473184720,01/01/2019,03/31/2019,01/24/2019,PATRICK O'CONNOR,1500.00,19061,ROBERT,BLACKWELL,04/19/2019
2028304836,07/01/2014,09/30/2014,09/17/2014,ALDERMAN BRENDAN REILLY,50.00,4456,JEFF,RILEY,10/15/2014
691580554,01/01/2018,03/31/2018,03/23/2018,"11TH WARD DEMOCRATIC PARTY - NEAL & LEROY, LLC  CONTRIBUTION",500.00,3753,LANGDON,NEAL,01/17/2019
887410802,01/01/2014,03/31/2014,03/31/2014,N/A,0.00,3820,MORGAN,BASSEY,04/04/2014
229471909,07/01/2017,09/30/2017,08/04/2017,FRIENDS OF SILVERMAN,250.00,3836,JOHN,DOERRER,10/04/2017
2671817421,04/01/2018,06/30/2018,06/11/2018,CITIZENS FOR RICARDO MUNOZ,1000.00,8162,GERY,CHICO,08/30/2018
4061196800,10/01/2018,12/31/2018,12/18/2018,FRIENDS OF HEATHER WAY KITZES,750.00,4260,MICHAEL,LUFRANO,01/18/2019
2294195826,07/01/2012,09/30/2012,08/21/2012,CITIZENS FOR PAT DOWELL,100.00,4070,CHARLES,BERNARDINI,01/17/2013
4137963761,04/01/2019,06/30/2019,06/24/2019,FRIENDS OF GILBERT VILLEGAS,500.00,3824,DANIEL,SHOMON,09/27/2019
230731073,04/01/2016,06/30/2016,05/13/2016,FRIENDS OF RODERICK T. SAWYER,500.00,6961,SARAH,CALDER,07/18/2016
1019198381,04/01/2014,06/30/2014,04/15/2014,CITIZENS FOR CARDENAS,150.00,4064,WILLIAM,FILAN,07/08/2014
3537101927,04/01/2016,06/30/2016,06/21/2016,CITIZENS FOR WAGUESPACK,50.00,5127,PAT,DOERR,07/20/2016
