Id,Label,timeset,count,modularity_class,clustering,triangles,eigencentrality
24728,24728,,4,21,0,0,0.001558
24073,24073,,4,21,0,0,0.001558
14821,14821,,4,72,0,0,0.011176
14921,14921,,43,72,0,0,0.057605
5322,5322,,5,72,0,0,0.00478
5701,5701,,4,22,0,0,0.001558
3825,3825,,8,22,0,0,0.001558
18021,18021,,2,16,0,0,0.099003
24915,24915,,2,23,0,0,0.001558
24922,24922,,2,23,0,0,0.001558
4195,4195,,8,24,0,0,0.001558
4196,4196,,8,24,0,0,0.001558
16041,16041,,3,25,1,3,0.022814
16042,16042,,3,25,1,3,0.022814
5862,5862,,5,25,0.6,9,0.039641
5401,5401,,5,25,1,6,0.030969
4209,4209,,5,25,1,6,0.030969
5281,5281,,4,25,1,6,0.030969
20166,20166,,5,26,0,0,0.006777
4318,4318,,25,26,0,0,0.02163
4074,4074,,32,26,0,0,0.004306
18181,18181,,32,15,0,0,0.132523
4267,4267,,10,26,0,0,0.011584
14261,14261,,2,27,0,0,0.001558
3789,3789,,3,27,0,0,0.001558
3740,3740,,83,36,0,0,0.285964
4007,4007,,71,36,0.066667,1,0.105812
4201,4201,,3,36,0,0,0.032197
3930,3930,,62,36,0,0,0.206198
3739,3739,,62,36,0,0,0.206198
18701,18701,,5,28,0.805556,29,0.258444
17201,17201,,26,28,1,21,0.210638
18742,18742,,6,28,0.805556,29,0.258444
18702,18702,,5,28,0.805556,29,0.258444
24746,24746,,4,28,0.964286,27,0.233858
24163,24163,,4,28,0.964286,27,0.233858
4260,4260,,5,28,0.964286,27,0.233858
18703,18703,,4,28,0.964286,27,0.233858
18741,18741,,4,28,1,21,0.210638
5964,5964,,38,72,0,0,0.018903
4361,4361,,5,72,0,0,0.008768
3741,3741,,5,72,0,0,0.004342
3912,3912,,7,26,0,0,0.002285
4981,4981,,2,6,0,0,0.034923
7422,7422,,5,29,0,0,0.003335
20526,20526,,3,29,0,0,0.002133
8761,8761,,5,29,0,0,0.002133
18605,18605,,3,30,1,55,1
24482,24482,,2,30,1,55,1
24483,24483,,2,30,1,55,1
24262,24262,,2,30,1,55,1
24102,24102,,2,30,1,55,1
24484,24484,,2,30,1,55,1
18481,18481,,3,30,1,55,1
24106,24106,,2,30,1,55,1
23827,23827,,2,30,1,55,1
18602,18602,,3,30,1,55,1
18601,18601,,3,30,1,55,1
18604,18604,,3,30,1,55,1
4103,4103,,24,6,0.4,4,0.214699
24871,24871,,3,6,0,0,0.024873
9621,9621,,88,36,0,0,0.012032
19861,19861,,30,36,0,0,0.003119
3845,3845,,134,31,0,0,0
16002,16002,,15,32,1,1,0.011046
6561,6561,,18,32,0.666667,2,0.018435
11701,11701,,46,32,0.2,2,0.033029
4257,4257,,18,3,0.1,1,0.105648
4073,4073,,5,42,0,0,0.018594
4068,4068,,74,0,0,0,0.066388
9482,9482,,3,3,1,1,0.089362
4030,4030,,7,42,0.1,1,0.032137
4312,4312,,5,33,0,0,0.001558
9383,9383,,4,33,0,0,0.001558
3809,3809,,28,42,0.333333,1,0.019431
3862,3862,,2,34,1,1,0.008961
4301,4301,,5,34,0.666667,2,0.019186
4005,4005,,4,34,0.666667,2,0.019186
4094,4094,,53,2,0.333333,5,0.167318
24321,24321,,3,35,0,0,0.001558
